division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
40,47,30,33,GUTUDIA,GUTUDIA,admin
40,47,30,81,SAHAS,SAHAS,admin
40,47,30,74,RUDAGHORA,RUDAGHORA,admin
10,79,47,63,SAYNAROGHUNATHPUR,SAYNAROGHUNATHPUR,admin
10,79,47,47,KAUKHALI,KAUKHALI,admin
10,79,47,31,CHIRAPARAPARSATURIA,CHIRAPARAPARSATURIA,admin
10,79,47,79,SHIALKHATI,SHIALKHATI,admin
20,19,40,5,(Wrong) Follow Union Code 10,(Wrong) Follow Union Code 10,admin
20,19,40,65,JAFORGANJ,JAFORGANJ,admin
20,19,40,41,SULTANPUR,SULTANPUR,admin
20,19,40,59,SOUTHGUNAIGHAR,SOUTHGUNAIGHAR,admin
60,58,56,76,RAHIMPUR,RAHIMPUR,admin
60,58,56,66,PATANUSHAR,PATANUSHAR,admin
60,58,56,85,SHOMSHERNAGAR,SHOMSHERNAGAR,admin
60,58,56,28,ISLAMPUR,ISLAMPUR,admin
10,4,47,23,BIBICHINI,BIBICHINI,admin
10,4,47,11,BETAGI,BETAGI,admin
10,4,47,71,MOKAMMIA,MOKAMMIA,admin
10,4,47,83,SHORISHAMURI,SHORISHAMURI,admin
45,39,85,42,07 No KAMRABAD,07 No KAMRABAD,admin
45,39,85,84,01 No SATPUA,01 No SATPUA,admin
45,39,85,73,02 No PUGOLDIGHA,02 No PUGOLDIGHA,admin
45,39,85,10,04 No AOUNA,04 No AOUNA,admin
20,15,18,19,BARKAL,BARKAL,admin
20,15,18,28,BARAMA,BARAMA,admin
20,15,18,66,HASHIMPUR,HASHIMPUR,admin
30,59,44,31,GAODIA,GAODIA,admin
30,59,84,94,TONTAR,TONTAR,admin
30,59,84,20,BAROIKHALI,BAROIKHALI,admin
30,59,84,13,BAGHRA,BAGHRA,admin
30,59,74,67,MODDHOPARA,MODDHOPARA,admin
30,35,32,86,SHUKTAIL,SHUKTAIL,admin
30,33,34,8,BAHADUR SHADI,BAHADUR SHADI,admin
30,33,34,17,BAKTARPUR,BAKTARPUR,admin
30,33,34,94,MUKTARPUR,MUKTARPUR,admin
30,33,32,19,BOALI,BOALI,admin
30,33,32,28,CHAPAIR,CHAPAIR,admin
30,33,32,47,FULBARIA,FULBARIA,admin
30,33,36,25,DURGAPUR,DURGAPUR,admin
30,33,36,86,TORGAON,TORGAON,admin
30,33,36,60,RAYED,RAYED,admin
30,33,86,86,5 NO KAWRAID,5 NO KAWRAID,admin
30,33,86,57,9 NO PROHOLATPUR,9 NO PROHOLATPUR,admin
30,35,51,87,SADULLAYAPUR,SADULLAYAPUR,admin
30,35,51,13,AMTALI,AMTALI,admin
30,35,51,63,PINJURI,PINJURI,admin
30,35,51,31,HIRON,HIRON,admin
30,35,91,19,BORNI,BORNI,admin
30,35,91,28,DUMURIA,DUMURIA,admin
20,15,4,76,HALDOR UNION,HALDOR UNION,admin
60,91,38,36,11NO SHARIPHGONJ,11NO SHARIPHGONJ,admin
60,91,62,34,JALALABAD,JALALABAD,admin
60,91,62,38,KANDIGAON,KANDIGAON,admin
40,50,79,63,JHAUDIA,JHAUDIA,admin
40,50,79,88,PATIKABARI,PATIKABARI,admin
40,50,79,82,MONOHORDIA,MONOHORDIA,admin
40,50,79,31,DURGAPUR,DURGAPUR,admin
20,13,95,8,RAYSREE (NORTH),RAYSREE (NORTH),admin
20,13,95,82,RAYSREE (SOUTH),RAYSREE (SOUTH),admin
20,13,95,96,TAMTA (NORTH),TAMTA (NORTH),admin
20,13,95,90,SUCHIPARA (SOUTH),SUCHIPARA (SOUTH),admin
50,64,69,42,1NO HAZINAGAR UNION,1NO HAZINAGAR UNION,admin
50,64,69,84,7NO SRIMONTOPUR UNION,7NO SRIMONTOPUR UNION,admin
50,64,69,73,5NO ROSULPUR UNION,5NO ROSULPUR UNION,admin
50,64,69,10,8NO BAHADURPUR UNION,8NO BAHADURPUR UNION,admin
20,15,70,10,PADUA,PADUA,admin
20,15,70,12,KODALA,KODALA,admin
20,15,70,15,LALA,LALA,admin
20,15,70,14,DAKKIN RAJANAGOR,DAKKIN RAJANAGOR,admin
20,15,10,1,POPADIA,POPADIA,admin
20,15,10,2,SAROATALI,SAROATALI,admin
20,15,10,4,KHADURKIL,KHADURKIL,admin
20,15,10,3,WEST GOMDONDI,WEST GOMDONDI,admin
20,19,27,55,GOLLAI,GOLLAI,admin
20,19,27,14,SHUHILPUR,SHUHILPUR,admin
20,19,27,31,JOYAG,JOYAG,admin
20,19,27,23,BORKOROI,BORKOROI,admin
20,15,4,47,BURUM CHARA,BURUM CHARA,admin
20,15,4,95,RAIPUR,RAIPUR,admin
10,6,36,54,GUABARIYA,GUABARIYA,admin
10,6,36,67,HARINATHPUR,HARINATHPUR,admin
10,6,36,94,MEMANIA,MEMANIA,admin
10,6,36,81,HIZLA GOUROBDI,HIZLA GOUROBDI,admin
10,6,36,13,BAROJALIA,BAROJALIA,admin
10,6,36,27,DHULKHOLA,DHULKHOLA,admin
55,85,27,31,GANGACHARA,GANGACHARA,admin
55,85,27,53,LAXMITARY,LAXMITARY,admin
55,85,27,63,KOLKONDDO,KOLKONDDO,admin
55,85,27,77,NOHALI,NOHALI,admin
20,15,74,6,6NO BINAJURI,6NO BINAJURI,admin
20,15,74,7,7NO RAOZAN,7NO RAOZAN,admin
20,15,74,2,2NO DABUYA,2NO DABUYA,admin
20,15,74,1,1NO HALUDIA,1NO HALUDIA,admin
40,47,75,67,SREEFALTALA,SREEFALTALA,admin
40,47,75,54,NAIHATI,NAIHATI,admin
40,47,75,81,T.S.BAHIRDIA,T.S.BAHIRDIA,admin
40,47,75,27,GHATBHOGH,GHATBHOGH,admin
20,15,82,69,NOLUA,NOLUA,admin
20,15,82,65,MADARSHA,MADARSHA,admin
20,15,82,36,DEMSHA,DEMSHA,admin
20,15,82,54,KEOSIA,KEOSIA,admin
10,4,85,83,RAIHANPUR,RAIHANPUR,admin
10,4,85,11,CORDUANI,CORDUANI,admin
10,4,85,71,PATHARGHATA SADAR,PATHARGHATA SADAR,admin
